dt,fplatformname,fuid,predict
2018-07-02,云南,20092319,0.0
2018-07-02,云南,10349466,0.0
2018-07-02,云南,12085743,0.0
2018-07-02,云南,21085717,0.0
2018-07-02,云南,19543860,0.0
2018-07-02,云南,20716649,1.0
2018-07-02,云南,4388475,0.0
2018-07-02,云南,4283477,0.0
2018-07-02,云南,21096657,0.0
2018-07-02,云南,18692026,0.0
2018-07-02,云南,10445607,0.0
2018-07-02,云南,7274512,0.0
2018-07-02,云南,20550329,0.0
2018-07-02,云南,20273534,0.0
2018-07-02,云南,5889303,0.0
2018-07-02,云南,16792947,0.0
2018-07-02,云南,17228342,0.0
2018-07-02,云南,21048730,0.0
2018-07-02,云南,5807256,0.0
2018-07-02,云南,4506531,0.0
2018-07-02,云南,8734429,0.0
2018-07-02,云南,20708129,0.0
2018-07-02,云南,21090648,1.0
2018-07-02,云南,20956695,0.0
2018-07-02,云南,19180352,0.0
2018-07-02,云南,5474533,0.0
2018-07-02,云南,17735408,0.0
2018-07-02,云南,5965118,0.0
2018-07-02,云南,17381151,0.0
2018-07-02,云南,17552120,0.0
2018-07-02,云南,8472191,0.0
2018-07-02,云南,18217332,0.0
2018-07-02,云南,16778146,1.0
2018-07-02,云南,19509162,0.0
2018-07-02,云南,19393031,0.0
2018-07-02,云南,18617179,0.0
2018-07-02,云南,8978033,0.0
2018-07-02,云南,19763671,0.0
2018-07-02,云南,8581892,0.0
2018-07-02,云南,11793671,0.0
2018-07-02,云南,20137300,0.0
2018-07-02,云南,5661368,0.0
2018-07-02,云南,20793695,0.0
2018-07-02,云南,7023950,0.0
2018-07-02,云南,17002368,0.0
2018-07-02,云南,8561853,0.0
2018-07-02,云南,18314307,0.0
2018-07-02,云南,6868135,0.0
2018-07-02,云南,17052854,0.0
2018-07-02,云南,10065646,0.0
2018-07-02,云南,20707985,0.0
2018-07-02,云南,20388743,0.0
2018-07-02,云南,19434854,0.0
2018-07-02,云南,18564348,0.0
2018-07-02,云南,19311880,0.0
2018-07-02,云南,19573737,0.0
2018-07-02,云南,21130240,1.0
2018-07-02,云南,8328780,0.0
2018-07-02,云南,20210775,0.0
2018-07-02,云南,19824759,1.0
2018-07-02,云南,19006375,0.0
2018-07-02,云南,10919757,0.0
2018-07-02,云南,20453823,1.0
2018-07-02,云南,7888109,0.0
2018-07-02,云南,6236100,0.0
2018-07-02,云南,18716649,0.0
2018-07-02,云南,19848685,0.0
2018-07-02,云南,4279973,0.0
2018-07-02,云南,20816396,0.0
2018-07-02,云南,8640208,0.0
2018-07-02,云南,21132400,1.0
2018-07-02,云南,17380176,0.0
2018-07-02,云南,11011584,0.0
2018-07-02,云南,10370633,0.0
2018-07-02,云南,20755392,0.0
2018-07-02,云南,20974270,0.0
2018-07-02,云南,20172765,0.0
2018-07-02,云南,18766309,0.0
2018-07-02,云南,19058417,0.0
2018-07-02,云南,10674942,0.0
2018-07-02,云南,8571695,0.0
2018-07-02,云南,7990461,0.0
2018-07-02,云南,18431115,0.0
2018-07-02,云南,20512773,0.0
2018-07-02,云南,17660548,0.0
2018-07-02,云南,17560345,0.0
2018-07-02,云南,8209680,1.0
2018-07-02,云南,6074346,0.0
2018-07-02,云南,18867193,0.0
2018-07-02,云南,20639326,0.0
2018-07-02,云南,20069266,0.0
2018-07-02,云南,20474494,0.0
2018-07-02,云南,8345674,0.0
2018-07-02,云南,11242116,0.0
2018-07-02,云南,14950431,0.0
2018-07-02,云南,18245044,0.0
2018-07-02,云南,20938023,0.0
2018-07-02,云南,20506210,0.0
2018-07-02,云南,21105922,1.0
2018-07-02,云南,8385116,0.0
2018-07-02,云南,21115412,0.0
2018-07-02,云南,19803284,0.0
2018-07-02,云南,18302309,0.0
2018-07-02,云南,8981178,0.0
2018-07-02,云南,8427630,0.0
2018-07-02,云南,20927707,0.0
2018-07-02,云南,18916783,0.0
2018-07-02,云南,21001005,0.0
2018-07-02,云南,20522680,0.0
2018-07-02,云南,6443791,0.0
2018-07-02,云南,20910934,0.0
2018-07-02,云南,21052914,0.0
2018-07-02,云南,16738995,0.0
2018-07-02,云南,20661889,0.0
2018-07-02,云南,21117201,1.0
2018-07-02,云南,20956054,0.0
2018-07-02,云南,19717549,0.0
2018-07-02,云南,21122551,1.0
2018-07-02,云南,8594667,0.0
2018-07-02,云南,18253223,0.0
2018-07-02,云南,21034244,0.0
2018-07-02,云南,19589047,0.0
2018-07-02,云南,19870813,0.0
2018-07-02,云南,8713716,0.0
2018-07-02,云南,17374926,0.0
2018-07-02,云南,21064338,1.0
2018-07-02,云南,10321294,0.0
2018-07-02,云南,20563142,0.0
2018-07-02,云南,20671209,0.0
2018-07-02,云南,11547411,0.0
2018-07-02,云南,20917485,1.0
2018-07-02,云南,18298005,0.0
2018-07-02,云南,13904760,0.0
2018-07-02,云南,21140683,1.0
2018-07-02,云南,21032881,0.0
2018-07-02,云南,7077950,0.0
2018-07-02,云南,19061715,0.0
2018-07-02,云南,7798411,0.0
2018-07-02,云南,19349303,0.0
2018-07-02,云南,19308735,0.0
2018-07-02,云南,17487767,0.0
2018-07-02,云南,21112272,0.0
2018-07-02,云南,17418066,0.0
2018-07-02,云南,17705953,0.0
2018-07-02,云南,5417247,0.0
2018-07-02,云南,19871654,0.0
2018-07-02,云南,19406365,0.0
2018-07-02,云南,20636471,1.0
2018-07-02,云南,17402749,0.0
2018-07-02,云南,19118416,0.0
2018-07-02,云南,8632685,0.0
2018-07-02,云南,21053626,0.0
2018-07-02,云南,21011306,0.0
2018-07-02,云南,5333769,1.0
2018-07-02,云南,7919990,0.0
2018-07-02,云南,20046156,0.0
2018-07-02,云南,5300911,0.0
2018-07-02,云南,20986073,1.0
2018-07-02,云南,20163352,0.0
2018-07-02,云南,4479355,0.0
2018-07-02,云南,20125012,0.0
2018-07-02,云南,11351674,0.0
2018-07-02,云南,19809475,0.0
2018-07-02,云南,16780550,1.0
2018-07-02,云南,18885390,0.0
2018-07-02,云南,6422745,0.0
2018-07-02,云南,21123277,0.0
2018-07-02,云南,7598870,0.0
2018-07-02,云南,19759884,0.0
2018-07-02,云南,7066109,0.0
2018-07-02,云南,10577793,0.0
2018-07-02,云南,5796593,0.0
2018-07-02,云南,4846493,0.0
2018-07-02,云南,20976377,0.0
2018-07-02,云南,21059259,0.0
2018-07-02,云南,19717811,0.0
2018-07-02,云南,21120025,0.0
2018-07-02,云南,6577729,0.0
2018-07-02,云南,5030226,0.0
2018-07-02,云南,18133959,0.0
2018-07-02,云南,21110232,0.0
2018-07-02,云南,10038765,0.0
2018-07-02,云南,18493568,0.0
2018-07-02,云南,18637127,0.0
2018-07-02,云南,21073874,1.0
2018-07-02,云南,5687467,0.0
2018-07-02,云南,20789211,0.0
2018-07-02,云南,11729343,0.0
2018-07-02,云南,7930982,0.0
2018-07-02,云南,10602098,0.0
2018-07-02,云南,21024121,0.0
2018-07-02,云南,8566803,1.0
2018-07-02,云南,4595363,0.0
2018-07-02,云南,21066011,0.0
2018-07-02,云南,19486591,0.0
2018-07-02,云南,19455259,1.0
2018-07-02,云南,21100387,1.0
2018-07-02,云南,20996430,0.0
2018-07-02,云南,21070466,0.0
2018-07-02,云南,13904129,0.0
2018-07-02,云南,18092471,0.0
2018-07-02,云南,10313941,0.0
2018-07-02,云南,7356859,0.0
2018-07-02,云南,8780558,0.0
2018-07-02,云南,7535053,0.0
2018-07-02,云南,8686901,1.0
2018-07-02,云南,5018184,0.0
2018-07-02,云南,18862820,0.0
2018-07-02,云南,11250445,0.0
2018-07-02,云南,4299056,0.0
2018-07-02,云南,4297384,0.0
2018-07-02,云南,20792298,0.0
2018-07-02,云南,21028852,0.0
2018-07-02,云南,18465670,1.0
2018-07-02,云南,17943140,0.0
2018-07-02,云南,20908549,0.0
2018-07-02,云南,11633716,0.0
2018-07-02,云南,20955686,0.0
2018-07-02,云南,12814386,0.0
2018-07-02,云南,21122990,0.0
2018-07-02,云南,21060634,0.0
2018-07-02,云南,20434321,0.0
2018-07-02,云南,18818216,0.0
2018-07-02,云南,6923176,0.0
2018-07-02,云南,21061001,0.0
2018-07-02,云南,20558983,0.0
2018-07-02,云南,4317759,0.0
2018-07-02,云南,17417700,0.0
2018-07-02,云南,20942927,1.0
2018-07-02,云南,19200143,0.0
2018-07-02,云南,11786806,0.0
2018-07-02,云南,4936645,0.0
2018-07-02,云南,4987686,0.0
2018-07-02,云南,19055757,0.0
2018-07-02,云南,7977713,0.0
2018-07-02,云南,5883208,0.0
2018-07-02,云南,20340405,0.0
2018-07-02,云南,20936422,1.0
2018-07-02,云南,11653080,0.0
2018-07-02,云南,20966660,0.0
2018-07-02,云南,18424652,0.0
2018-07-02,云南,4566106,1.0
2018-07-02,云南,18683910,0.0
2018-07-02,云南,18455086,0.0
2018-07-02,云南,19168769,0.0
2018-07-02,云南,7462091,0.0
2018-07-02,云南,21071272,0.0
2018-07-02,云南,20970640,1.0
2018-07-02,云南,6280955,0.0
2018-07-02,云南,20003766,0.0
2018-07-02,云南,16899882,0.0
2018-07-02,云南,19254587,0.0
2018-07-02,云南,17584849,1.0
2018-07-02,云南,6539683,0.0
2018-07-02,云南,17015726,0.0
2018-07-02,云南,20992749,0.0
2018-07-02,云南,19620675,0.0
2018-07-02,云南,17099633,0.0
2018-07-02,云南,8033972,0.0
2018-07-02,云南,21020428,1.0
2018-07-02,云南,16611512,1.0
2018-07-02,云南,20853481,0.0
2018-07-02,云南,20956899,0.0
2018-07-02,云南,7556580,0.0
2018-07-02,云南,6830390,0.0
2018-07-02,云南,19210342,0.0
2018-07-02,云南,19647641,0.0
2018-07-02,云南,19320893,1.0
2018-07-02,云南,8931559,0.0
2018-07-02,云南,21115136,1.0
2018-07-02,云南,18607408,0.0
2018-07-02,云南,6776239,0.0
2018-07-02,云南,20679044,0.0
2018-07-02,云南,20734362,0.0
2018-07-02,云南,20849075,1.0
2018-07-02,云南,21099907,1.0
2018-07-02,云南,20868455,0.0
2018-07-02,云南,12385026,0.0
2018-07-02,云南,4826709,0.0
2018-07-02,云南,15925475,0.0
2018-07-02,云南,7397489,0.0
2018-07-02,云南,20920941,0.0
2018-07-02,云南,7983242,0.0
2018-07-02,云南,20053791,0.0
2018-07-02,云南,20777239,0.0
2018-07-02,云南,10834875,0.0
2018-07-02,云南,21071806,0.0
2018-07-02,云南,20955194,1.0
2018-07-02,云南,21055160,0.0
2018-07-02,云南,5851018,0.0
2018-07-02,云南,5691383,0.0
2018-07-02,云南,6915288,0.0
2018-07-02,云南,19466739,0.0
2018-07-02,云南,18118184,0.0
2018-07-02,云南,21110356,1.0
