产品名称,产品类型,是否有竞品
干瞪眼,扑克类,有
打大王,扑克类,无
辽阳麻将,麻将类,是
香河麻将,麻将类,无
丽水麻将,麻将类,有
来宾麻将,麻将类,有
双鸭山麻将,麻将类,有
锦州麻将,麻将类,是
青海麻将（258、推28、癞子、血流）,麻将类,是
抽王八,扑克类,
麻将类:开封麻将--扑克类:斗地主--扑克类:双升--金流类:斗牛--:--:--:,,有
打储,扑克类,有
安州麻将,麻将类,无
云霄麻将,麻将类,有
肥城小蚊子,扑克类,是
汉源麻将,麻将类,无
资中麻将,麻将类,无
黑河麻将,麻将类,有
水鱼（宝宝）,金流类,无
炒地皮，麻将,扑克类,有
古田三副牌,扑克类,有
廊坊麻将（扣第一手）,扑克类,是
青阳麻将,麻将类,是
藏棋,棋类,否
舒兰麻将,麻将类,有
徐闻拖拉机,扑克类,是
拧螺丝,麻将类,有
跑得快,扑克类,有
上虞花麻将,麻将类,有
十三张,金流类,有
德州扑克,金流类,无
捉虾子,麻将类,有
五人双升,扑克类,同城游
捉红五/打红五,扑克类,有
静海麻将,麻将类,（朋友获得
江阴打滦，江阴麻将,扑克类,有
北京麻将,麻将类,有
清远麻将（100张,去万）,麻将类,是
卡二条,麻将类,有
爬山,金流类,
榆林麻将,麻将类,
崇左麻将,麻将类,有
贡井麻将,麻将类,无
跑得快（争上游）,扑克类,有
捉王八,扑克类,有
十点半,扑克类,有
衡阳麻将,麻将类,有
三公,金流类,是
青岛棋牌,其他,是
骰子,金流类,有
揪面片,扑克类,
推饼（二八杠、推筒子）,麻将类,有
贺州麻将,麻将类,有
临沂麻将,麻将类,是
德宏麻将,麻将类,有
南充麻将,麻将类,无
跳棋,棋类,有
麻将类:海南麻将----扑克类:三公----扑克类:斗地主,,有
阆中麻将,麻将类,无
白山麻将,麻将类,有
捉鸟麻将,麻将类,是
高坪麻将,麻将类,无
大城麻将,麻将类,有
攉龙,扑克类,同城游
瑞安麻将,麻将类,有
宁德麻将,麻将类,是
凉山麻将,麻将类,有
推蛋子,麻将类,
桥牌,扑克类,
三宫,金流类,无
升级,扑克类,有
鹰潭麻将,麻将类,是
宜春麻将,麻将类,是
丹东五狼腿,扑克类,是
升级,扑克类,无
春天,扑克类,有
公花,扑克类,无
三打一,扑克类,无
沈阳麻将,麻将类,是
藏棋/密芒/多眼棋/多目戏,棋类,
攉龙,扑克类,QQ游戏大厅
宿松同心,扑克类,是
三扣一,扑克类,有
炒地皮,扑克类,有
红中麻将,麻将类,有
斗鸡,扑克类,无
棋类:象棋，围棋，五子棋----麻将类:二五八，剁刀----扑克类:咸宁打拱----字牌类:无---,,无
棋类:象棋，围棋，五子棋----麻将类:红中癞子杠，晃晃----扑克类:斗地主，癞子斗地主----字,,
常州三打一（双扣演变）,扑克类,有
够级,扑克类,
六胡抢,字牌类,有
扑克类:斗地主--扑克类:跑得快--麻将类:许昌麻将--金流类:斗牛--:--:--:,,
ATT连环炮,扑克类,有
金牛麻将,麻将类,无
克郎球,其他,
麻将类:鹰城麻将--扑克类:双升--扑克类:七毛五二三--扑克类:心中有个毛--扑克类:灭三家--扑,,有
敲麻,麻将类,是
癞子跑得快,扑克类,有
打大A,扑克类,是
武侯麻将,麻将类,无
盐边攀麻,麻将类,无
廊坊麻将,麻将类,是
斗地主,扑克类,
青羊麻将,麻将类,无
砍牛腿,扑克类,
跑胡子,字牌类,有
大怪路子,扑克类,否
蹿红A,扑克类,无
四一四,扑克类,无
象棋,其他,
南平两家黑,扑克类,有
怪噜,扑克类,有
青白江麻将,麻将类,无
黑三,扑克类,有
三台麻将,麻将类,无
铁岭麻将,麻将类,是
射洪麻将,麻将类,无
拖拉机,扑克类,
赶毛驴,扑克类,没有
推对子,金流类,
国际象棋,其他,
塘沽毛四,扑克类,是
沧州麻将,麻将类,有
常德麻将,麻将类,有
辽阳放羊,扑克类,是
湖州麻将,麻将类,有
峨眉山麻将,麻将类,有
独食,其他,是
缙云包尖,扑克类,有
南昌麻将,麻将类,是
炸枪,扑克类,
两副头,扑克类,是
三打一,扑克类,
乐至麻将,麻将类,无
邹城够级,扑克类,是
四人跑得快,扑克类,有
天津拱猪,扑克类,是
斗鸡（炸金花）,金流类,
掼蛋,,
双升,扑克类,
青海麻将（258、血流）,麻将类,是
扣九,金流类,无
麻将类:驻马店麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,有
撩五分（类升级）,其他,否
赤峰对户（一副扑克）,扑克类,是
三打一（风火轮）,扑克类,无
三明麻将,麻将类,有
藏牌,其他,
红十,扑克类,有
温江麻将,麻将类,无
遵义麻将,麻将类,有
板子炮,扑克类,没有
安吉划轮,扑克类,有
纳溪鬼麻将,麻将类,无
A(烟)3（独食）,扑克类,无
吹牛逼,扑克类,有
安溪调红五,扑克类,有
扑克类:南召打楼--扑克类:南阳斗地主--麻将类:南阳麻将--金流类:斗牛--:--:--:,,
绵阳麻将,麻将类,无
仁寿麻将,麻将类,有
玩大小/21点,金流类,是
砍牛腿,扑克类,没有
憋七,扑克类,有
帕斯（梭哈）,扑克类,
赶毛驴,扑克类,
告胡子,字牌类,有
张家口麻将,麻将类,有
梧州麻将,麻将类,有
磐石麻将,麻将类,有
打旋,扑克类,有
抽老鳖,扑克类,无
嘴胡,麻将类,朋友介绍获取
溧阳麻将,麻将类,有
15张跑得快,扑克类,有
湖州方五,扑克类,有
道县麻将,麻将类,有
温岭六家统,扑克类,有
争上游,扑克类,
邢台麻将,麻将类,有
西充麻将,麻将类,无
打麻子,扑克类,有
黑A,扑克类,无
扯头注,金流类,无
达州红三,扑克类,有
棋类:象棋，围棋，五子棋----麻将类:玩胡，天门晃晃----扑克类:三宫，钓鱼----字牌类:定七,,
淄博麻将,麻将类,是
瓦房店手把一,扑克类,是
文山麻将,麻将类,有
麻将类:琼海麻将----:----:,,有
玉溪麻将,麻将类,有
合川麻将,麻将类,有
抽王八（淘宝客服提供）,扑克类,
绥化麻将,麻将类,有
松原快听,麻将类,有
昭通斗地主,扑克类,有
西区攀麻,麻将类,无
捉黑尖儿,扑克类,
七鬼五二三,扑克类,有
螺丝胡,麻将类,有
罗江麻将,麻将类,
郴州麻将,麻将类,有
安国麻将,麻将类,
莱芜保皇,扑克类,是
抚州麻将,麻将类,是
达州麻将,麻将类,有
乐山麻将,麻将类,有
立四麻将,麻将类,QQ游戏大厅
市中甜城麻将,麻将类,
七毛五二三,,有
赤峰麻将,其他,是
酒泉麻将,麻将类,有
恩阳麻将,麻将类,无
刨幺,扑克类,有
新昌麻将,麻将类,有
斗地主,扑克类,是
承德麻将,麻将类,有
昭化麻将,麻将类,无
益阳歪胡子,字牌类,有
天津憋七,扑克类,是
拱猪,扑克类,有
陇南麻将,麻将类,有
蒲城麻将,麻将类,有
吉安炸弹,扑克类,是
棋类:象棋，围棋，五子棋----麻将类:双开，红中开杠----扑克类:推小九，斗地主----字牌类:,,
捉黑尖,扑克类,
玉环80分,扑克类,有
扎金花,金流类,无
枞阳炒地皮,扑克类,是
柳州麻将,麻将类,有
泸州鬼麻将,麻将类,有
三人转转,麻将类,有
扣探,棋类,无
刮风,扑克类,否
板城（岫岩）,扑克类,是
21点,金流类,是
捞腌菜,金流类,有
7鬼523,其他,是
麻将类:文昌麻将----:----:,,有
两帮,扑克类,有
昭通麻将,麻将类,有
抓只,扑克类,有
宣尖,扑克类,无
放炮罚,字牌类,有
宁夏方棋,棋类,
个旧麻将,麻将类,有
犍为麻将,麻将类,有
大同麻将,麻将类,
玉环麻将,麻将类,有
捉红三,扑克类,
河北麻将,麻将类,
旌阳麻将,麻将类,
7鬼523 ,其他,是
临县打七,扑克类,同城游
红三红五,扑克类,否
抢分报主,扑克类,是
钓鱼,扑克类,
重庆斗地主,扑克类,有
四川血流成河,麻将类,
掀牛九,字牌类,否
推锅,金流类,
 赤峰对调（三副扑克）,扑克类,是
丹东红十,扑克类,是
嵊州麻将,麻将类,有
麻将类:万宁麻将----:----:,,有
游仙麻将,麻将类,无
砸筒子,麻将类,有
